I, [2019-08-15T16:38:30.372826 #7904]  INFO -- Kitchen: -----> Starting Kitchen (v2.2.5)
E, [2019-08-15T16:38:30.374763 #7904] ERROR -- Kitchen: ------Exception-------
E, [2019-08-15T16:38:30.374959 #7904] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2019-08-15T16:38:30.375358 #7904] ERROR -- Kitchen: Message: Kitchen YAML file C:/Users/PNayee/Engineering3637/InfrastructureAsCode/Day4/kitchen.yml does not exist.
E, [2019-08-15T16:38:30.375471 #7904] ERROR -- Kitchen: ----------------------
E, [2019-08-15T16:38:30.375578 #7904] ERROR -- Kitchen: ------Backtrace-------
E, [2019-08-15T16:38:30.375667 #7904] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2019-08-15T16:38:30.375939 #7904] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/config.rb:152:in `data'
E, [2019-08-15T16:38:30.376045 #7904] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/config.rb:131:in `suites'
E, [2019-08-15T16:38:30.376153 #7904] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/config.rb:182:in `filter_instances'
E, [2019-08-15T16:38:30.376226 #7904] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/config.rb:141:in `build_instances'
E, [2019-08-15T16:38:30.376309 #7904] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/config.rb:117:in `instances'
E, [2019-08-15T16:38:30.376388 #7904] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2019-08-15T16:38:30.376637 #7904] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2019-08-15T16:38:30.376726 #7904] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/command/test.rb:40:in `block in call'
E, [2019-08-15T16:38:30.376844 #7904] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/2.6.0/benchmark.rb:293:in `measure'
E, [2019-08-15T16:38:30.376936 #7904] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/command/test.rb:38:in `call'
E, [2019-08-15T16:38:30.377105 #7904] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/cli.rb:52:in `perform'
E, [2019-08-15T16:38:30.377189 #7904] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/cli.rb:245:in `test'
E, [2019-08-15T16:38:30.377275 #7904] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/thor-0.20.3/lib/thor/command.rb:27:in `run'
E, [2019-08-15T16:38:30.378014 #7904] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/thor-0.20.3/lib/thor/invocation.rb:126:in `invoke_command'
E, [2019-08-15T16:38:30.378120 #7904] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/thor-0.20.3/lib/thor.rb:387:in `dispatch'
E, [2019-08-15T16:38:30.378207 #7904] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/thor-0.20.3/lib/thor/base.rb:466:in `start'
E, [2019-08-15T16:38:30.378279 #7904] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/bin/kitchen:13:in `block in <top (required)>'
E, [2019-08-15T16:38:30.378385 #7904] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2019-08-15T16:38:30.378467 #7904] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/bin/kitchen:13:in `<top (required)>'
E, [2019-08-15T16:38:30.378700 #7904] ERROR -- Kitchen: C:/opscode/chefdk/bin/kitchen:359:in `load'
E, [2019-08-15T16:38:30.378806 #7904] ERROR -- Kitchen: C:/opscode/chefdk/bin/kitchen:359:in `<main>'
E, [2019-08-15T16:38:30.378904 #7904] ERROR -- Kitchen: ----End Backtrace-----
